temperature,wind_speed,pressure,humidity,Soil_Name,N,P,K,Crop
20.77089433,2.068259961,1014.863796,21.94714706,loamy,56.07,0,0,Maize
20.16042589,1.976479932,1015.193528,20.64323694,sandy,9,9,0,Arhar/Tur
21.9982986,2.00052426,1014.184607,21.42231237,clay,0,0,0,Bajra
21.77637662,2.019749785,1015.053118,21.81056724,chalky,38.25,38.25,38.25,Gram
20.07573361,1.974350686,1015.170238,21.93020582,clay,0,23.184,0,Jowar
21.64235446,2.075065625,1015.702482,21.571403,sandy,5.64,14.664,14.664,Maize
21.19965831,2.079551928,1013.865862,20.83372485,peaty,41.7,111.2,55.6,Moong(Green Gram)
21.36685054,2.078574323,1013.051455,20.08436093,silty,7.476,7.476,0,Pulses total
21.8775422,2.054199269,1014.982542,21.64336323,silty,2.1,5.25,2.1,Ragi
21.62967599,2.107639236,1014.724315,20.92012574,chalky,0,0,0,Rice
20.66483198,2.107465937,1013.164054,21.30536334,sandy,3.392,4.24,0,Sugarcane
21.35974226,2.015673189,1014.108797,20.17698696,silt,2.8,0,0,Total foodgrain
20.74823718,2.035531338,1013.022822,21.79448251,chalky,2.898,2.898,0,Urad
22.04171458,1.987525865,1015.331912,20.34949169,silt,0,0,0,Jowar
21.96825261,1.981765981,1014.062003,20.63889417,silty,901.37,0,0,Maize
20.88314114,2.032753812,1014.999626,20.27590988,chalky,7.704,19.688,0,Other  Rabi pulses
20.96546175,2.079957305,1015.586701,21.4840263,loamy,50.568,0,0,Wheat
21.7547621,2.108655049,1014.503957,20.62497734,clay,8.22,8.22,0,Maize
20.93328469,2.011366642,1015.406196,20.81529873,loamy,0.465,0.465,0.465,Cotton(lint)
20.69289749,2.087617874,1014.739862,21.94999812,silty,38.25,38.25,38.25,Arhar/Tur
20.98883454,2.07755719,1014.940241,20.6154117,clay,0,26.832,0,Bajra
20.83184456,1.995048855,1014.654889,21.51358246,silt,10.24,26.624,26.624,Castor seed
21.72103637,2.028014561,1013.713074,20.73272954,chalky,41.496,110.656,55.328,Cotton(lint)
20.1248972,2.07020758,1014.856644,21.39591752,loamy,7.84,7.84,0,Groundnut
21.30744347,2.060792122,1015.437764,21.6067011,chalky,7.504,18.76,7.504,Jowar
22.02887686,2.018088293,1014.878968,20.59319817,loamy,0,0,0,Maize
20.89493598,2.10301467,1014.65758,21.12355934,clay,2.896,3.62,0,Moong(Green Gram)
20.50114069,2.04221824,1015.956919,21.26949329,chalky,3.15,0,0,Niger seed
22.02352371,2.064150815,1015.318125,21.27069949,chalky,3.45,3.45,0,Other Cereals & Millets
22.06250624,2.06552666,1013.107865,20.4501391,silt,0,0,0,Other Kharif pulses
20.18043762,2.107579645,1014.312187,20.83955818,chalky,902.566,0,0,Ragi
20.83765736,2.069812759,1014.443876,21.37331861,peaty,6.516,16.652,0,Rice
20.51281864,1.98236701,1013.980305,21.5505229,peaty,59.22,0,0,Sesamum
21.3312506,2.042967512,1014.824697,20.90579408,clay,7.68,7.68,0,Soyabean
20.28478349,2.099276817,1014.573622,22.02234536,peaty,3.255,3.255,3.255,Sugarcane
20.35574742,2.022406902,1015.255797,21.61955928,loamy,38.25,38.25,38.25,Sunflower
21.65475118,2.051912295,1015.267041,21.49227718,sandy,0,28.048,0,Urad
21.58719633,2.073924425,1013.802234,21.87219321,loamy,10.5,27.3,27.3,Gram
21.67279904,2.053245327,1014.412273,20.44558272,chalky,39.72,105.92,52.96,Jowar
20.74429784,2.109696025,1013.373847,21.66046422,silty,8.008,8.008,0,Linseed
20.8057974,2.102208667,1014.534457,21.31802463,peaty,5.824,14.56,5.824,Maize
21.79311047,2.052410164,1013.661985,21.79910481,chalky,0,0,0,Other  Rabi pulses
21.23524866,2.02247821,1014.16884,20.64598381,clay,3.008,3.76,0,Other Cereals & Millets
20.20608222,2.05378208,1015.888415,20.99366677,sandy,2.775,0,0,Rapeseed &Mustard
21.84288192,2.080066311,1014.585454,20.56160256,silt,2.921,2.921,0,Safflower
21.09668838,2.022470808,1014.2584,21.91810231,peaty,0,0,0,Sesamum
20.89787334,2.086103467,1014.721289,20.56085771,sandy,928.372,0,0,Sunflower
20.72679742,2.017225575,1014.788721,20.14743456,silty,6.93,17.71,0,Wheat
20.21914896,1.998387061,1013.513199,21.29564234,silt,52.08,0,0,Groundnut
20.71124281,2.058628714,1014.223335,21.08464389,silt,8.6,8.6,0,Maize
20.40378937,2.036187598,1013.814668,20.73793878,loamy,2.16,2.16,2.16,Sunflower
20.27347307,2.079654682,1015.582986,20.70439081,peaty,38.25,38.25,38.25,Arhar/Tur
20.28936322,2.018554409,1014.94463,21.63442686,chalky,0,20.08,0,Bajra
20.67563109,2.035619846,1015.540944,20.75371863,peaty,3.13,8.138,8.138,Castor seed
20.53082683,2.106104398,1014.798252,20.13136593,peaty,38.688,103.168,51.584,Cotton(lint)
22.06184395,2.019977909,1013.382658,21.87117389,clay,7.588,7.588,0,Groundnut
20.54366645,2.003502177,1015.70684,20.26536201,silt,1.596,3.99,1.596,Jowar
20.05168675,2.060074325,1014.294292,20.41276197,silt,0,0,0,Maize
20.88175122,2.033651023,1015.652051,21.99315872,peaty,2.8,3.5,0,Moong(Green Gram)
20.30892912,2.07401322,1014.245835,20.66832838,clay,2.525,0,0,Niger seed
21.30915575,1.986104542,1014.034424,20.56206793,silt,3.91,3.91,0,Other Kharif pulses
21.95717565,2.108496377,1013.401493,21.85398177,chalky,0,0,0,Ragi
20.77067565,2.006089054,1013.24045,20.70566119,peaty,920.828,0,0,Rice
20.3355803,2.008682032,1015.823286,20.31056205,silt,7.992,20.424,0,Sesamum
20.30770019,2.007587484,1013.837779,20.7484817,clay,40.908,0,0,Small millets
21.54382537,2.070131443,1013.261926,21.69573395,clay,7.66,7.66,0,Soyabean
20.7668359,2.082006425,1014.608384,21.56136399,loamy,0.975,0.975,0.975,Sunflower
21.721587,1.986450821,1014.187989,21.37227855,sandy,38.25,38.25,38.25,Urad
21.31608981,2.054998096,1014.821285,21.36296658,sandy,0,15.712,0,Gram
